sec_code,sec_name,industry,year,title,announcement_id,published_at,file,size_kb,sha256,status
002433,*ST太安,医药制造业,2023,2023年年度报告,1219926918,2024-04-30,corpus\raw\002433_ST太安_2023.pdf,2569,8c0badf0e17244cb8009666054fb3065e21746dac21ca4178957939855a1a200,downloaded
002435,长江健康,医药制造业,2023,2023年年度报告,1219927881,2024-04-30,corpus\raw\002435_长江健康_2023.pdf,4178,e439b1fe111a35f15d4809f7bdd8656217add7adc6a84a0a4a46a54bf2885178,downloaded
002440,闰土股份,化学原料和化学制品制造业,2023,2023年年度报告,1219909026,2024-04-30,corpus\raw\002440_闰土股份_2023.pdf,4441,d3e804a782295a85a577d5624ac32655dd3eb95804539929707739ccf77cba7e,downloaded
002459,晶澳科技,电气机械和器材制造业,2023,2023年年度报告,1219917147,2024-04-30,corpus\raw\002459_晶澳科技_2023.pdf,8044,7ca208c124f06a66cae5ee66a60ee7470bfccb9658398f715a8e6ed9d1085b9c,downloaded
002470,金正大,化学原料和化学制品制造业,2023,2023年年度报告,1219923364,2024-04-30,corpus\raw\002470_金正大_2023.pdf,1391,b9ecdab56d90217271132adb6f7545ea28c4be0f7b99aaf320521993ba641c05,downloaded
002513,蓝丰生化,化学原料和化学制品制造业,2023,2023年年度报告,1219925490,2024-04-30,corpus\raw\002513_蓝丰生化_2023.pdf,5367,de28743aef9edeb62153bf11f68f515eb634b2a8d82f12c1e7bc1471840dfc14,downloaded
002528,英飞拓,计算机、通信和其他电子设备制造业,2023,2023年年度报告,1219926801,2024-04-30,corpus\raw\002528_英飞拓_2023.pdf,7889,5d2d88568ae2013911fc546b6337a517af1e1dbecfe86da1fe397b3afc1c7ca9,downloaded
002570,贝因美,食品制造业,2023,2023年年度报告,1219913116,2024-04-30,corpus\raw\002570_贝因美_2023.pdf,4691,7db83e97e033e1909effc9bdf0f2e3b49ca145d417f36a791e20040b8035c295,downloaded
002586,*ST围海,土木工程建筑业,2023,2023年年度报告,1219968275,2024-04-30,corpus\raw\002586_ST围海_2023.pdf,5826,7a7f9c477155522764bfb5c5851c83a54863e218535acea7f4a70e711d83984e,downloaded
002610,爱康科技,电气机械和器材制造业,2023,2023年年度报告,1219917610,2024-04-30,corpus\raw\002610_爱康科技_2023.pdf,6480,01c8183a669a9ed2ce36e4e07a5d73bef6ff73850962c6b34e3c1b73e30217ce,downloaded
002626,金达威,食品制造业,2023,2023年年度报告,1219912986,2024-04-30,corpus\raw\002626_金达威_2023.pdf,6006,acdf535f7a2058d0202ab93b8568634ef81e28500fa5daee5ef5c022f258ce31,downloaded
002628,成都路桥,土木工程建筑业,2023,2023年年度报告,1219924504,2024-04-30,corpus\raw\002628_成都路桥_2023.pdf,3039,06ae576c61ff72a5a6590da2929cb25ce6bafb0213df92e636aa3732a3de4a6c,downloaded
002650,加加食品,食品制造业,2023,2023年年度报告,1219872679,2024-04-29,corpus\raw\002650_加加食品_2023.pdf,6150,10312979cffd8826381650b2f9c5ec392d1d2ed6520ef105eeaf6e0eb614c83c,downloaded
